id,name,numReviews,avgReviewScore,price,genres,tags,description,numFollowers
"1057780","Jump Off The Bridge","214","89","7.99","['Action', 'Adventure', 'Indie', 'Early Access']","['Indie', 'Action', 'Early Access', 'Adventure', 'Pixel Graphics', 'Difficult', 'Platformer', '2D Platformer', 'Puzzle Platformer', 'Singleplayer', 'Side Scroller', '2D', 'Dark Humor', 'Funny', 'Retro', 'Inventory Management', 'Old School', 'Silent Protagonist', 'Great Soundtrack']","An absurd retro-platformer that tests your patience.","738"
"593530","Jelly in the sky","126","54","9.99","['Action']","['Action', 'Physics', '2D']","Experimental approach to 2d artillery genre: everything is realistically destructible, because the game world is a physics simulation. There are no sprites in the game. All you see is made of dynamically simulated matter, and thus can be destroyed. This innovative approach opens the new layer of physics based gameplay features.","901"
"790800","Ascent Spirit","12","0","9.99","['Action', 'Adventure', 'Simulation']","['Simulation', 'Action', 'Adventure', 'VR']","Equipped with two improvised ice axes in Ascent Spirit, your only chance of survival is to reach the top of this sacred mountain and get back to your hot air balloon before the winds free it.","151"
"1307870","Sensorium","168","93","9.99","['Adventure', 'Indie']","['Indie', 'Adventure', 'Puzzle', 'First-Person', 'Open World', 'Exploration', 'Relaxing', 'Singleplayer']","Sensorium is a small open-world puzzle game about the 5 senses: touch, taste, sight, smell, and hearing.","296"
"2175650","Polda 3","81","99","3.99","['Adventure', 'Casual', 'Indie']","['Adventure', 'Action-Adventure', 'Animation & Modeling', '2D Platformer', 'Choose Your Own Adventure', '2D', 'Cartoon', 'Colorful', 'Cute', 'Pixel Graphics', 'Stylized', ""1990's"", 'Atmospheric', 'Comedy', 'Comic Book', 'Conspiracy', 'Crime', 'Detective', 'Old School', 'Parody']","Polda Pankrác coby elitní soukromý detektiv řeší případ ztraceného kuchaře, ze kterého se vyklube, jako obvykle, spiknutí obřích rozměrů. Pomozte Pankrácovi v podání skvělého Luďka Soboty opět zachránit svět!","350"
"1917920","Polda 7","592","94","17.99","['Adventure', 'Casual', 'Indie']","['Adventure', 'Point & Click', 'Clicker', 'Choose Your Own Adventure', '2D', 'Comic Book', 'Cartoon', 'Hand-drawn', 'Stylized', 'Cartoony', 'Atmospheric', 'Detective', 'Drama', 'Comedy', 'Hacking', 'Aliens', 'Politics', 'Satire', 'Sci-fi', 'Old School']","Polda Pankrác v podání Luďka Soboty se vrací již posedmé. A je to návrat jaksepatří. Záhadná zpráva Temného lorda Vedra a havárie kosmické lodi odstartují kolotoč událostí, které může vyřešit jen náš elitní detektiv Pankrác.","1820"
"1608560","AI Drone Simulator","196","88","15.99","['Simulation']","['Simulation', 'Flight', 'First-Person', 'Artificial Intelligence', 'Immersive Sim', 'Physics', 'Level Editor', '3D', '6DOF', 'Combat Racing', 'Realistic', 'Robots', 'Science', 'Crafting', 'Open World', 'Singleplayer']","AI Drone Simulator is an FPV drone simulator. Huge, dynamic environments. Virtual copy of your own drone. Total customization for maximum pilot power. Community sharing of drones, maps and tracks !","1205"
"1174090","Unicorn Tails","91","96","9.99","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']","['Indie', 'Casual', 'Adventure', 'RPG', 'Simulation', 'Fantasy', 'Open World', 'Lore-Rich', 'Singleplayer', 'Story Rich', 'Exploration', 'Family Friendly', 'Early Access', 'Horses']","Explore Unicorn Tails, a game filled with wonder, whimsy, and mystery where you can create your own unicorn, interact with unicorns and other creatures, solve puzzles, explore deep lore, and live in a fantasy world.","326"
"2115850","Last Holiday","363","54","29.99","['Adventure', 'Indie', 'Simulation', 'Early Access']","['Early Access', 'Realistic', 'Life Sim', 'Simulation', 'Memes', 'Open World', 'Racing', 'Story Rich', 'Survival', 'Dating Sim', 'Heist', 'Driving', 'First-Person', '3D', 'Crafting', 'Parody', ""1990's"", 'Immersive Sim', 'Choose Your Own Adventure', 'Singleplayer']","Last Holiday is set in a picturesque North Bohemian village during the holidays in year 2000, where a good little singer seeks refuge from an angry old man. You have to take care of all your needs, such as food, drink, cigarettes, beer, girls and just about everything that goes with village life.","5084"
"1723560","Ballads of Hongye","703","58","9.99","['Indie', 'Simulation', 'Strategy']","['Strategy', 'Simulation', 'Building', 'City Builder', 'Management', 'Resource Management', 'Historical', 'Base Building', 'Survival', 'Sandbox', 'Atmospheric', 'Singleplayer', 'Nature', 'Economy', 'God Game', 'Automation', 'Story Rich', 'Real-Time with Pause', 'Difficult', 'Soundtrack']","Ballads of Hongye is a unique city-builder strategy game. As the local magistrate, you must carefully plan and act to complete the various challenges in different environments to earn the right to rule the lands. Build a thriving city and revive Hongye County as you discover a unique story.","8583"
"765060","pixelBOT EXTREME!","29","97","9.99","['Action', 'Indie']","['Indie', 'Action', '2D', 'Side Scroller', 'Platformer', 'Great Soundtrack', 'Arcade', 'Retro', 'Runner', 'Controller', 'Replay Value', 'Bullet Hell', 'Difficult', 'Singleplayer', ""Shoot 'Em Up"", 'Fast-Paced', 'Pixel Graphics', 'Colorful']","EXTREME! retro side-scrolling shoot 'em up with a colorful twist! Become one with your controller, learn all rocket colors by heart and master a unique color-based destruction! SHOOT DIE RESPAWN! And most importantly... NEVER GIVE UP!","189"
"1290220","Elasto Mania Remastered","213","100","9.99","['Casual', 'Indie', 'Racing', 'Simulation', 'Sports']","['Indie', 'Casual', 'Simulation', 'Sports', 'Racing', 'Classic', '2D']","The original cult classic returns. A blast from the past, better than ever. Are you ready?","721"
"978630","Juro Janosik","87","95","10.99","['Action', 'Adventure', 'Indie', 'RPG']","['Top-Down', 'Isometric', 'Indie', 'Adventure', 'Puzzle', 'Singleplayer', '3D', 'Funny', 'Action', 'Puzzle Platformer', 'Loot', 'Casual', 'Relaxing', 'Combat', 'Controller', 'RPG', 'Historical', 'Hack and Slash', '3D Platformer', 'Cute']","Juro Janosik is an action adventure about a Slovak legendary hero. You'll take an adventure across country of Slovakia, explore castles, solve puzzles, rob pandurs, liberate prisoners, steal from the rich and give loot to the poor.","847"
"2187230","ALTF42","327","75","3.99","['Action', 'Adventure', 'Indie', 'Racing', 'Early Access']","['Early Access', 'Precision Platformer', '3D Platformer', 'Perma Death', 'Walking Simulator', 'Runner', 'Action', 'Singleplayer', '3D', 'Third Person', 'Medieval', 'Arcade', 'Adventure', 'Action-Adventure', 'Action Roguelike', 'Platformer', 'Dark Humor', 'Dark Comedy', 'Exploration', 'Roguelike']","[3rd Person / Permadeath / Adventure] ALTF42 brings a host of new traps to the table. Be careful not to break your keyboard and mouse from all the excitement.","1166"
